città n: 1  -0.754701  -0.660164
città n: 12  -0.533686  -0.613414
città n: 15  -0.484213  -0.521464
città n: 20  0.00371557  -0.951432
città n: 23  0.35676  -0.803571
città n: 4  0.410058  -0.827986
città n: 7  0.552096  -0.957725
città n: 30  0.626571  -0.964115
città n: 32  0.426846  -0.776446
città n: 22  0.303909  -0.572297
città n: 2  0.459299  -0.337669
città n: 21  0.372012  -0.261299
città n: 14  -0.0417242  -0.0114806
città n: 3  -0.0457706  0.143669
città n: 16  -0.0564068  0.169834
città n: 17  0.233619  0.160937
città n: 19  0.863731  0.508103
città n: 29  0.837711  0.879751
città n: 27  0.531528  0.940534
città n: 5  0.312037  0.810967
città n: 25  0.154538  0.68001
città n: 13  -0.0135474  0.512095
città n: 6  -0.257007  0.673133
città n: 28  -0.54778  0.989221
città n: 11  -0.870714  0.509307
città n: 24  -0.75808  0.360274
città n: 9  -0.441534  0.0917158
città n: 8  -0.663351  0.144877
città n: 10  -0.965397  0.166357
città n: 26  -0.894478  -0.092985
città n: 18  -0.832092  -0.681482
città n: 31  -0.732392  -0.893041
