0 -10  -10  -10  17.3205
136  3.74407  2.48499  2.06914  4.94718
137  0.807128  2.43099  -0.711795  2.65854
138  0.807128  2.43099  -0.711795  2.65854
139  -1.75393  5.0684  1.29767  5.51805
140  -1.75393  5.0684  1.29767  5.51805
141  -1.75393  5.0684  1.29767  5.51805
142  -0.984191  2.57366  1.96721  3.3856
143  -0.775904  0.138362  -0.822286  1.139
144  0.567838  0.916922  -3.15237  3.33176
145  3.11269  -1.32358  -0.539514  3.42517
146  3.76752  -3.01546  -0.974284  4.92306
147  3.76752  -3.01546  -0.974284  4.92306
148  4.20027  -2.87527  -1.60957  5.33856
149  4.20027  -2.87527  -1.60957  5.33856
150  3.05398  -1.6045  -2.32623  4.16084
151  1.45205  1.28706  -3.95734  4.40744
152  -0.449451  1.59486  -2.92403  3.36088
153  -2.78851  1.51337  -3.34045  4.60702
154  -0.316529  2.93089  -6.01077  6.69475
155  -0.316529  2.93089  -6.01077  6.69475
156  -3.15025  1.65866  -7.15257  7.98965
157  -3.15025  1.65866  -7.15257  7.98965
158  -1.54719  3.19858  -6.71889  7.60054
159  -0.318172  0.272524  -7.12278  7.13509
160  -0.237373  0.225218  -4.68797  4.69937
161  -2.84078  -0.527256  -2.81861  4.03641
162  -1.81929  -1.06214  -2.50236  3.27105
163  -1.81929  -1.06214  -2.50236  3.27105
164  -1.40259  -1.49983  -2.0308  2.88806
165  -1.40259  -1.49983  -2.0308  2.88806
166  -0.526438  0.376889  -4.4802  4.52674
167  -1.62988  1.18941  -3.61622  4.14104
168  -1.62988  1.18941  -3.61622  4.14104
169  1.05172  3.42587  -3.04743  4.7042
170  2.26758  2.6532  -5.00672  6.10317
171  2.26758  2.6532  -5.00672  6.10317
172  3.94914  4.12081  -7.51872  9.4397
173  2.75494  4.43257  -6.44165  8.29049
174  2.75494  4.43257  -6.44165  8.29049
175  2.33625  1.6151  -6.71001  7.28635
176  3.00429  -1.23852  -4.87332  5.85738
177  2.40016  0.733154  -2.43002  3.49332
178  1.34161  -1.57627  -4.40008  4.86264
179  1.34161  -1.57627  -4.40008  4.86264
180  1.34161  -1.57627  -4.40008  4.86264
181  1.34161  -1.57627  -4.40008  4.86264
182  1.34161  -1.57627  -4.40008  4.86264
183  -1.15423  -0.324623  -3.22212  3.43798
184  -1.15423  -0.324623  -3.22212  3.43798
185  -1.15423  -0.324623  -3.22212  3.43798
186  -0.676739  0.692776  -4.26597  4.37452
187  -0.676739  0.692776  -4.26597  4.37452
188  -1.03513  1.72941  -2.38435  3.12209
189  0.277781  3.20995  -1.00705  3.37566
190  0.277781  3.20995  -1.00705  3.37566
191  0.277781  3.20995  -1.00705  3.37566
192  -1.71413  0.649338  -3.71991  4.147
193  -1.71413  0.649338  -3.71991  4.147
194  -1.71413  0.649338  -3.71991  4.147
195  -1.71413  0.649338  -3.71991  4.147
196  -1.71413  0.649338  -3.71991  4.147
197  -1.71413  0.649338  -3.71991  4.147
198  -1.71413  0.649338  -3.71991  4.147
199  -1.71413  0.649338  -3.71991  4.147
200  -1.71413  0.649338  -3.71991  4.147
201  -0.694509  0.491239  -2.15302  2.31499
202  -0.694509  0.491239  -2.15302  2.31499
203  -0.694509  0.491239  -2.15302  2.31499
204  -0.694509  0.491239  -2.15302  2.31499
205  1.46693  2.44353  -3.05103  4.17511
206  0.346153  2.50941  -1.99725  3.22583
207  -0.682373  0.969563  0.866162  1.46831
208  -0.682373  0.969563  0.866162  1.46831
209  -0.839538  -0.919327  2.75056  3.0192
210  -0.839538  -0.919327  2.75056  3.0192
211  -1.84146  -1.00892  5.15264  5.56405
212  -1.84146  -1.00892  5.15264  5.56405
213  0.787864  0.197544  3.71494  3.8027
214  0.787864  0.197544  3.71494  3.8027
215  0.787864  0.197544  3.71494  3.8027
216  0.787864  0.197544  3.71494  3.8027
217  1.59439  -0.207915  4.4484  4.73007
218  1.59439  -0.207915  4.4484  4.73007
219  1.59439  -0.207915  4.4484  4.73007
220  1.59439  -0.207915  4.4484  4.73007
221  1.59439  -0.207915  4.4484  4.73007
222  -0.581719  0.457798  3.50089  3.5783
223  -0.581719  0.457798  3.50089  3.5783
224  -0.581719  0.457798  3.50089  3.5783
225  -0.581719  0.457798  3.50089  3.5783
226  -0.581719  0.457798  3.50089  3.5783
227  -0.581719  0.457798  3.50089  3.5783
228  -0.581719  0.457798  3.50089  3.5783
229  -0.421216  1.11968  2.92714  3.16216
230  -0.421216  1.11968  2.92714  3.16216
231  -0.421216  1.11968  2.92714  3.16216
232  -0.421216  1.11968  2.92714  3.16216
233  -0.421216  1.11968  2.92714  3.16216
234  -0.421216  1.11968  2.92714  3.16216
235  -0.421216  1.11968  2.92714  3.16216
236  1.6421  0.251548  3.37012  3.75733
237  1.11155  0.395785  1.46285  1.8794
238  1.11155  0.395785  1.46285  1.8794
239  -1.62736  1.9164  3.06631  3.96524
240  0.642978  -0.353779  2.47203  2.57867
241  0.642978  -0.353779  2.47203  2.57867
242  -0.138026  2.3452  3.59731  4.29647
243  1.56964  1.30508  2.60012  3.3057
244  1.56964  1.30508  2.60012  3.3057
245  2.14272  4.01042  1.9753  4.95748
246  2.14272  4.01042  1.9753  4.95748
247  2.14272  4.01042  1.9753  4.95748
248  1.20106  2.69095  3.37282  4.4788
249  -1.4043  0.902058  1.4479  2.20956
250  -1.4043  0.902058  1.4479  2.20956
251  -0.37443  2.0487  1.35552  2.48492
252  0.373533  -0.698134  -1.41747  1.62362
253  0.373533  -0.698134  -1.41747  1.62362
254  0.373533  -0.698134  -1.41747  1.62362
255  0.373533  -0.698134  -1.41747  1.62362
256  -1.2395  -0.714109  -0.802202  1.64007
257  -2.71125  0.981222  -2.58384  3.87168
258  -2.71125  0.981222  -2.58384  3.87168
259  -0.894023  -1.76913  -1.30441  2.37288
260  -0.894023  -1.76913  -1.30441  2.37288
261  -0.894023  -1.76913  -1.30441  2.37288
262  1.40364  -3.98824  -2.8614  5.10528
263  3.41699  -1.82698  -5.11037  6.41323
264  3.41699  -1.82698  -5.11037  6.41323
265  6.25374  -0.250659  -2.24449  6.64905
266  8.72035  1.50865  -4.89047  10.1112
267  7.84792  3.38434  -6.86572  10.9627
