0 0  0  5.5  5.5
140  -0.9051  5.93007  3.23264  6.81432
141  -0.9051  5.93007  3.23264  6.81432
142  -0.135359  3.43533  3.90218  5.20065
143  0.0729273  1.00003  1.11268  1.49781
144  0.0729273  1.00003  1.11268  1.49781
145  2.61778  -1.24047  3.72554  4.71923
146  3.27261  -2.93236  3.29077  5.4898
147  3.27261  -2.93236  3.29077  5.4898
148  3.70536  -2.79217  2.65549  5.34579
149  3.77161  -2.70736  4.15915  6.23325
150  2.62532  -1.43659  3.44249  4.56145
151  1.02339  1.45497  1.81137  2.53876
152  -0.878113  1.76277  2.84468  3.45986
153  -3.21717  1.68128  2.42827  4.36731
154  -3.21717  1.68128  2.42827  4.36731
155  -3.21717  1.68128  2.42827  4.36731
156  -3.21717  1.68128  2.42827  4.36731
157  -2.21982  -0.358797  1.17521  2.53721
158  -0.616756  1.18112  1.60889  2.08901
159  -0.616756  1.18112  1.60889  2.08901
160  -0.535956  1.13382  4.04371  4.23372
161  -0.535956  1.13382  4.04371  4.23372
162  0.485533  0.598937  4.35997  4.42761
163  0.485533  0.598937  4.35997  4.42761
164  0.485533  0.598937  4.35997  4.42761
165  0.485533  0.598937  4.35997  4.42761
166  0.485533  0.598937  4.35997  4.42761
167  0.485533  0.598937  4.35997  4.42761
168  0.485533  0.598937  4.35997  4.42761
169  3.16713  2.83539  4.92876  6.50867
170  4.38299  2.06272  2.96946  5.68183
171  4.38299  2.06272  2.96946  5.68183
172  4.38299  2.06272  2.96946  5.68183
173  3.18879  2.37449  4.04653  5.67283
174  3.18879  2.37449  4.04653  5.67283
175  2.7701  -0.442984  3.77817  4.70577
176  3.43814  -3.2966  5.61486  7.36309
177  2.83401  -1.32493  8.05815  8.64412
178  1.77546  -3.63435  6.0881  7.30929
179  1.77546  -3.63435  6.0881  7.30929
180  1.77546  -3.63435  6.0881  7.30929
181  0.517396  -5.92327  3.77978  7.04554
182  0.517396  -5.92327  3.77978  7.04554
183  -1.97844  -4.67163  4.95774  7.09348
184  -1.97844  -4.67163  4.95774  7.09348
185  -1.97844  -4.67163  4.95774  7.09348
186  -1.50095  -3.65423  3.91389  5.561
187  -1.50095  -3.65423  3.91389  5.561
188  -1.50095  -3.65423  3.91389  5.561
189  -0.188042  -2.17369  5.29119  5.72337
190  -0.188042  -2.17369  5.29119  5.72337
191  -0.268771  0.415196  6.77049  6.78853
192  -2.26068  -2.14541  4.05763  5.11643
193  -2.26068  -2.14541  4.05763  5.11643
194  -2.10279  0.253043  5.81879  6.19226
195  -2.10279  0.253043  5.81879  6.19226
