città n: 1  -0.717473  -0.696586
città n: 8  -0.857503  -0.514478
città n: 21  -0.918643  -0.395088
città n: 14  -0.991194  -0.132421
città n: 19  -0.994097  -0.108496
città n: 10  -0.828785  0.559567
città n: 12  -0.517489  0.85569
città n: 13  -0.162934  0.986637
città n: 26  -0.0379884  0.999278
città n: 22  -0.029236  0.999573
città n: 3  0.127518  0.991836
città n: 7  0.278816  0.960344
città n: 9  0.556778  0.830661
città n: 32  0.861008  0.508592
città n: 20  0.866511  0.499159
città n: 16  0.898197  0.439593
città n: 6  0.899859  0.436181
città n: 18  0.958776  0.284163
città n: 28  0.99935  -0.0360596
città n: 25  0.999094  -0.0425475
città n: 27  0.991421  -0.130705
città n: 5  0.98968  -0.143298
città n: 31  0.98434  -0.176281
città n: 11  0.69137  -0.722501
città n: 4  0.488159  -0.872755
città n: 17  0.182645  -0.983179
città n: 29  0.0495759  -0.99877
città n: 30  -0.067379  -0.997727
città n: 23  -0.105631  -0.994405
città n: 24  -0.34881  -0.937194
città n: 2  -0.482205  -0.876058
città n: 15  -0.490951  -0.871187
